doc_id;bank;field;model_value;model_conf;confidence_source;disagreement;snippet;gold_value;verdict;note
albaraka--detay-albarakadan-ucuran-kampanya;albaraka;kampanya_kosullari;"[""Kampanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir."", ""Kampanyadan yalnızca dijital portföy yönetimi hizmeti verdiğimiz müşterilerimiz faydalanabilir."", ""Her müşteri kampanyadan yalnızca bir kez faydalanabilir."", ""Ek Kampanya Detayları Kampanyamız, 1 – 31 Temmuz 2026 tarihleri arasında yapacağınız havayolu harcamaları için geçerlidir."", ""Kampanyada katılım koşulu aranacaktır."", ""Kampanyadan yararlanabilmeniz için harcamadan önce Albaraka Mobil'den katılım sağlamanız gerekmektedir."", ""Bir müşteri kampanyadan sadece bir kez faydalanabilir."", ""Kampanya Dijital Portföy Yönetimi Müşterileri için geçerlidir.""]";0.95;rule_heuristic;;…000 TL' ye varan iade kazanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 – 31 Temmuz 2026 tarihlerinde geçerlidir. [Kampanyadan Kimler Faydalanabilir: 1 – 31 Temmuz 2026 tarihleri arasında Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak ilgili koşullarda harcama yapan müşteriler yararlanabilir.] Kampanyadan yalnızca dijital portföy yönetimi hizmeti verdiğimiz müşterilerimiz faydalanabilir. Her müşteri kampanyadan…;;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;kampanya_kosullari;"[""Kampanya yalnızca gerçek kişiler için geçerlidir."", ""Kampanya Detayları Kampanyadan yalnızca 1 Nisan 2026 - 31 Aralık 2026 tarihleri arasında Albaraka Mobil'den görüntülü görüşme ile müşterimiz olanlar yararlanabilmektedir."", ""Avantajlı kâr paylaşım oranı Albaraka Mobil üzerinden, TL cinsinden açılan Katılma Hesapları için geçerlidir."", ""Dijital Katılma Hesabı TL cinsinden minimum 250 TL ile açılmaktadır."", ""Albaraka Türk Katılım Bankası, sektör koşullarına göre değişiklik yapma, kampanyayı sonlandırma hakkını saklı tutar.""]";0.95;rule_heuristic;;…mamlayıp ilk kez müşteri olan, Albaraka Mobil üzerinden TL cinsinden Katılma Hesabı açan müşterilerimiz faydalanabilir. [Kampanya yalnızca gerçek kişiler için geçerlidir.] Kampanya Detayları Kampanyadan yalnızca 1 Nisan 2026 - 31 Aralık 2026 tarihleri arasında Albaraka Mobil'den görüntülü g…;;;
albaraka--detay-dijital-katilma-hesabina-ozel-paylasim-oranlari-10;albaraka;hedef_kitle;"[""yeni_musteri""]";0.95;rule_heuristic;;…ihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Albaraka Mobil üzerinden görüntülü görüşme sürecini tamamlayıp [ilk kez] müşteri olan, Albaraka Mobil üzerinden TL cinsinden Katılma Hesabı açan müşterilerimiz faydalanabilir. Kampanya yalnızc…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;masraf_durumu;"{""amount"": null, ""has_fee"": true}";0.95;rule_heuristic;;…t başvuruları için geçerlidir. Kampanya kapsamında Bankamıza iletilen Pratik Finansman Kart talepleri bankamız kredi ve [tahsis] politikaları çerçevesinde , müşterinin aylık gelir bilgileri, kredi skoru vb. kriterler göz önünde bulundurularak müşte…;;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;kampanya_kosullari;"[""Pratik Finansman Kart Finansman Kampanyası Koşulları Kampanyadan 1 Ocak 2026 – 31 Aralık 2026 tarihleri arasında Albaraka Mobil'i indirip \""Müşteri Olmak İstiyorum\"" adımından ilerleyerek ilk defa Albaraka'lı olan müşterilerimiz Dijital Müşterilere özel vade farksız veya özel oranlı Pratik Finansman Kart\"" kampanyasına başvurabilecektir."", ""Kampanyamız sadece yeni müşterilerimiz için geçerli olup daha önce Albaraka müşterisi olmuş müşterilerimiz kampanyadan faydalanamaz."", ""Müşterilerimiz kampanya süresi boyunca yalnızca 1 kez kampanyadan faydalanabilecektir."", ""Kampanyadan 25 yaş ve üzerindeki müşteriler yararlanabilecek olup, ayrıca gelir şartı aranacaktır."", ""Kampanya sadece Albaraka Mobil ve İnternet üzerinden tamamlanacak Pratik Finansman Kart başvuruları için geçerlidir."", ""Bankamız uygun görmediği başvuruları reddetme, kampanya koşullarını değiştirme, gerekli görmesi halinde ek bilgi ve belge talebinde bulunma ve kampanyayı durdurma hakkını saklı tutar."", ""Pratik Finansman Kart ile asgari 250 TL, azami 150.000 TL finansman kullanılabilmektedir."", ""Sadece ihtiyaç finansmanı olan pratik kart ürünümüzde araç veya konut alıma konu olduğunda ilgili finansman kart kullanılamamaktadır.""]";0.95;rule_heuristic;;"…rler; Mobilya ve Beyaz Eşya, Oto Servis ve Bakım, Teknoloji Marketler, Ulaşım Bileti Alımı, Sağlık, Okul, Kırtasiyedir. [Pratik Finansman Kart Finansman Kampanyası Koşulları Kampanyadan 1 Ocak 2026 – 31 Aralık 2026 tarihleri arasında Albaraka Mobil'i indirip ""Müşteri Olmak İstiyorum"" adımından ilerleyerek ilk defa Albaraka'lı olan müşterilerimiz Dijital Müşterilere özel vade farksız veya özel oranlı Pratik Finansman Kart"" kampanyasına başvurabilecektir.] Kampanyamız sadece yeni müşterilerimiz için geçerli olup daha önce Albaraka müşterisi olmuş müşterilerimiz kampanyadan …";;;
albaraka--detay-dijital-musterilere-ozel-pratik-finansman-kart;albaraka;hedef_kitle;"[""mevcut_musteri"", ""yeni_musteri""]";0.95;rule_heuristic;;…nyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı [hoş geldin] finansmanı Albaraka'da! Beyaz eşyadan eğitim ve sağlık harcamalarına, ev eşyalarına kadar birçok ihtiyacınız için Prati…;;;
albaraka--detay-eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 200.0}";0.95;rule_heuristic;;…00 TL'ye varan Worldpuan! Eflatun kredi kartınız ile yapacağınız 500 TL ve üzeri kozmetik harcamalarına 50 TL, toplamda [200 TL] Worldpuan kazanma fırsatı sizi bekliyor! Kampanya Detayları: Kampanya kapsamında, Eflatun kredi kart sahibi müşterileri…;;;
albaraka--detay-eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan;albaraka;alisveris_puani;"{""kind"": ""points"", ""value"": 200.0}";0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Eflatun Kredi Kart ile Kozmetik Harcamalarına [200] TL'ye varan Worldpuan! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Eflatun Kredi Kart ile …;;;
albaraka--detay-eflatun-kredi-kart-ile-kozmetik-harcamalarina-200-tlye-varan-worldpuan;albaraka;kampanya_kosullari;"[""Sadece fiziki harcamalarda geçerlidir."", ""Kampanyaya katılım koşulu aranacaktır."", ""Albaraka Türk Katılım Bankası A.Ş. kampanya şartlarında önceden haber vermeksizin değişiklik yapabilme hakkını saklı tutar.""]";0.95;rule_heuristic;;… kartları dahildir.Debit kartlar, sanal kartlar, ek kartlar ve bankamız diğer kredi kartları kampanyaya dahil değildir. [Sadece fiziki harcamalarda geçerlidir.] Online harcamalarda geçerli değildir. Kampanya 5977- Kozmetik Dükkanları, 7299- Sınıflandırılmamış Kişisel Bakım Ürünle…;;;
albaraka--detay-eflatunlulara-tum-banka-atmleri-ucretsiz;albaraka;masraf_durumu;"{""amount"": 0.0, ""has_fee"": false}";0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Eflatun'lulara Tüm Banka ATM'leri [Ücretsiz] Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 14.08.2024 - 31.07.2026 Albaraka Türk Eflatun Bankacılık, kadınların h…;;;
albaraka--detay-eflatunlulara-tum-banka-atmleri-ucretsiz;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 5000.0}";0.95;rule_heuristic;;…a kartıyla bir ay içerisinde en fazla 3 kere ücretsiz para çekebilirsin. Aynı banka kartıyla bir ayda toplamda en fazla [5.000 TL] ücretsiz para çekebilirsin. Kampanyadan 31 Temmuz 2026 tarihine kadar faydalanabilirsin. Bankamız kampanya şartlarında …;;;
albaraka--detay-eflatunlulara-tum-banka-atmleri-ucretsiz;albaraka;kampanya_kosullari;"[""Kampanya Hakkında Bilmen Gerekenler Kampanyadan sadece Eflatun Banka Kartı'nla faydalanabilirsin."", ""Bankamız kampanya şartlarında önceden haber vermeksizin değişiklik yapabilme hakkını saklı tutar.""]";0.95;rule_heuristic;;…r ücretsiz olarak hizmetinde! Eflatun Banka Kartı'nla diğer banka ATM'lerinden her ay 3 kez ücretsiz para çekebilirsin! [Kampanya Hakkında Bilmen Gerekenler Kampanyadan sadece Eflatun Banka Kartı'nla faydalanabilirsin.] Aynı banka kartıyla bir ay içerisinde en fazla 3 kere ücretsiz para çekebilirsin. Aynı banka kartıyla bir ayda toplamda…;;;
albaraka--detay-egitim-kampanyasi-1;albaraka;kampanya_kosullari;"[""Kampanyadan Kimler Faydalanabilir Kampanya boyunca Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak koşullara uygun eğitim harcaması yapan müşteriler yararlanabilir."", ""Müşterinin kampanyaya katıldıktan sonra koşullara uygun olarak yapacağı ilk iki işlem dönem içi işlemlere yansıdığında otomatik olarak taksitlendirilecektir."", ""Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir."", ""Ek Kampanya Detayları Kampanya, World özellikli bireysel kredi kartları ile tek çekim olarak yaptığınız 30.000 TL- 500.000 TL arası eğitim harcamalarınız için geçerlidir."", ""Kampanya MCC grup kodu 22-EGITIM/KIRTASIYE/OFIS MLZ olan sadece eğitim sektöründe yapılan harcamaları için geçerlidir."", ""Kampanyaya sadece yurt içinde yapılan harcamalar dahildir."", ""Albaraka Türk kampanyayı dilediği zaman durdurma ve/veya kampanya koşullarını değiştirme yetkisine sahiptir.""]";0.95;rule_heuristic;;…rsatından yararlanın. Kampanya Başlangıç ve Bitiş Tarihi Kampanya 1 Temmuz 2026 -30 Eylül 2026 tarihlerinde geçerlidir. [Kampanyadan Kimler Faydalanabilir Kampanya boyunca Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak koşullara uygun eğitim harcaması yapan müşteriler yararlanabilir.] Kampanya dönemi boyunca bir müşteri maksimum 2 kere vade farksız taksitlendirme işleminden yararlanabilir. Müşterinin k…;;;
albaraka--detay-kirtasiye-kampanyasi;albaraka;kampanya_kosullari;"[""Kampanyadan Kimler Faydalanabilir: Kampanya boyunca Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak koşullara uygun kırtasiye harcaması yapan müşteriler yararlanabilir."", ""Müşterinin kampanyaya katıldıktan sonra koşullara uygun olarak yapacağı işlemler, dönem içi işlemlere yansıdığında otomatik olarak taksitlendirilecektir."", ""Kampanyadan yalnızca bireysel bankacılık hizmeti verdiğimiz müşterilerimiz faydalanabilir."", ""Ek Kampanya Detayları: Kampanya, World özellikli bireysel kredi kartları ile tek çekim olarak yaptığınız 1.000 TL- 20.000 TL arası eğitim harcamalarınız için geçerlidir."", ""Kampanya, MCC kodu 5942-KITAPCILAR ve 5943- KIRTASIYE DUKKANLARI olan harcamaları için geçerlidir."", ""Kampanyaya sadece yurt içinde yapılan harcamalar dahildir."", ""Albaraka Türk kampanyayı dilediği zaman durdurma ve/veya kampanya koşullarını değiştirme yetkisine sahiptir.""]";0.95;rule_heuristic;;…fırsatından yararlanın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Haziran - 30 Eylül 2026 tarihlerinde geçerlidir. [Kampanyadan Kimler Faydalanabilir: Kampanya boyunca Albaraka Mobil'den kampanyaya katılıp, Albaraka World özellikli kredi kartını kullanarak koşullara uygun kırtasiye harcaması yapan müşteriler yararlanabilir.] Müşterinin kampanyaya katıldıktan sonra koşullara uygun olarak yapacağı işlemler, dönem içi işlemlere yansıdığında otom…;;;
albaraka--detay-macrocentercomtrde-10-indirim;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 150.0}";0.95;rule_heuristic;;…rim kodu alınmalıdır. %10 indirim kodu 1500 TL'ye kadar yapılan alışverişlerde geçerlidir. Kampanya kapsamında maksimum [150 TL] indirim kazanılabilir. Başka kampanyalar ile birleştirilemez. Para ile satılamaz veya paraya çevrilemez. Kampanya kapsa…;;;
albaraka--detay-macrocentercomtrde-10-indirim;albaraka;indirim_orani;10.0;0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Macrocenter.com.tr'de %[10] İndirim! Anasayfa Kampanyalar Detay Macrocenter.com.tr'de Albaraka müşterilerine özel ayrıcalıklar sizi bekliyor. Nasıl…;;;
albaraka--detay-macrocentercomtrde-10-indirim;albaraka;kampanya_kosullari;"[""Kampanya Koşulları İndirim kodu sadece Migros Mobil Uygulaması'nda yer alan Macroonline ve www.macrocenter.com.tr üzerinden yapılan alışverişlerde geçerlidir."", ""Kampanya kapsamında yapılan alışverişlerde; Altın ve elektronik ürün satın alımları hariç tutulacaktır."", ""Albaraka Türk ve Macroonline (Dijital Platform Gıda Hizmetleri A.Ş.) kampanya koşullarında değişiklik yapma hakkını saklı tutar""]";0.95;rule_heuristic;;"…alanına uygulamadan alınan kod yazılır ve ""Kullan"" butonuna basılır. Bu işlemden sonra sepete indirim tutarı uygulanır. [Kampanya Koşulları İndirim kodu sadece Migros Mobil Uygulaması'nda yer alan Macroonline ve www.macrocenter.com.tr üzerinden yapılan alışverişlerde geçerlidir.] Kampanya ayda iki kez kullanılabilir. Her indirim kodu tek kullanımlıktır. Her alışverişiniz için yeni indirim kodu alı…";;;
albaraka--detay-madame-cocoda-350-tl-indirim;albaraka;kampanya_suresi;2025-12-31;0.95;rule_heuristic;;"…ise ödeme sayfasında ""İndirim Kodu"" alanına kupon kodu yazılır ve uygula butonuna tıklanır. Kampanya Koşulları Kampanya [31 Aralık 2025] tarihine kadar geçerlidir. Tüm indirimlere ek 3.000 TL üzeri alışverişlerde 350 TL indirim uygulanacaktır. Uygulamadan …";;;
albaraka--detay-madame-cocoda-350-tl-indirim;albaraka;kampanya_kosullari;"[""Kampanya Koşulları Kampanya 31 Aralık 2025 tarihine kadar geçerlidir."", ""Albaraka Türk ve Madam Coco kampanya koşullarında değişiklik yapma hakkını saklı tutar""]";0.95;rule_heuristic;;"…ılabilir. Madamecoco.com'da ise ödeme sayfasında ""İndirim Kodu"" alanına kupon kodu yazılır ve uygula butonuna tıklanır. [Kampanya Koşulları Kampanya 31 Aralık 2025 tarihine kadar geçerlidir.] Tüm indirimlere ek 3.000 TL üzeri alışverişlerde 350 TL indirim uygulanacaktır. Uygulamadan alınan kodlar, Madame Coco …";;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;kampanya_kosullari;"[""Albaraka Türk kampanyayı dilediği zaman durdurma ve/veya kampanya koşullarını değiştirme yetkisine sahiptir.""]";0.95;rule_heuristic;;…ödemeleriniz için Ödemeler menüsünden plakanızı sorgulayabilir, kredi kartınızla hızlıca ödeme gerçekleştirebilirsiniz. [Albaraka Türk kampanyayı dilediği zaman durdurma ve/veya kampanya koşullarını değiştirme yetkisine sahiptir.] Yukarıdaki QR kodunu telefonunuzdaki kamera uygulamasına okutunuz.;;;
albaraka--detay-pocket-esimden-35-indirim;albaraka;masraf_durumu;"{""amount"": 0.0, ""has_fee"": false}";0.95;rule_heuristic;;"…lar Detay Yurtdışında internetsiz kalmamanız için %35 Pocket eSIM indirimi Albaraka Mobil'de. Müşterimiz değilseniz hem [masrafsız] bankacılıktan faydalanmak hem de bunun gibi birçok avantajlı kampanya fırsatını kaçırmamak için "" Müşteri Ol "" butonuna…";;;
albaraka--detay-pocket-esimden-35-indirim;albaraka;indirim_orani;35.0;0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Pocket eSIM'den %[35] İndirim! Anasayfa Kampanyalar Detay Yurtdışında internetsiz kalmamanız için %35 Pocket eSIM indirimi Albaraka Mobil'de.…;;;
albaraka--detay-pocket-esimden-35-indirim;albaraka;kampanya_kosullari;"[""Sadece Dijital Portföy Yönetimi Müşterileri kampanyaya dahildir."", ""Albaraka Türk ve Pocket eSIM kampanya koşullarını önceden haber vermeksizin değiştirme ve kampanyayı durdurma hakkını saklı tutar.""]";0.95;rule_heuristic;;…a kullanılamaz. Albaraka Mobil'den kampanya döneminde alınan online indirim kodunun son kullanma tarihi 31.12.2025'tir. [Sadece Dijital Portföy Yönetimi Müşterileri kampanyaya dahildir.] Kampanya kapsamında müşteri başına en fazla 1 adet kod alınabilir. Her müşteri kampanyadan bir defaya mahsus olmak üzer…;;;
albaraka--detay-seckin-firsatlar;albaraka;kampanya_kosullari;"[""Kampanya Koşulları: Albaraka Mobil > Kampanyalar > \""Seçkin Fırsatlar Albaraka'da!"", ""Seçkin Fırsatlar müşteriye özel ayrıcalıklar sunması sebebi ile, kampanyalara erişememeniz durumunda şubeniz ile görüşmeniz gereklidir."", ""Albaraka Türk ve GastroClub kampanyayı dilediği zaman durdurma ve/veya kampanya koşullarını değiştirme yetkisine sahiptir.""]";0.95;rule_heuristic;;"…ız ödeme anında kasa görevlisine ileterek, online alışverişlerde kodu ilgili alana girerek ve indirimlerden yararlanın. [Kampanya Koşulları: Albaraka Mobil > Kampanyalar > ""Seçkin Fırsatlar Albaraka'da!] Kampanyasında bulunan ""Keşfet"" butonuna tıklayarak ayrıcalıklara erişebilirsiniz. Seçkin Fırsatlar müşteriye özel ayrıc…";;;
albaraka--detay-trendlilere-tum-banka-atmleri-ucretsiz;albaraka;masraf_durumu;"{""amount"": 0.0, ""has_fee"": false}";0.95;rule_heuristic;;Albaraka Mobil Mobil Bankacılık Aç Trend'lilere Tüm Banka ATM'leri [Ücretsiz] Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.03.2022 - 31.07.2026 Albaraka Türk Trend Bankacılık, gençlerin haya…;;;
albaraka--detay-trendlilere-tum-banka-atmleri-ucretsiz;albaraka;odul_miktari;"{""currency"": ""TRY"", ""value"": 5000.0}";0.95;rule_heuristic;;…a kartıyla bir ay içerisinde en fazla 3 kere ücretsiz para çekebilirsin. Aynı banka kartıyla bir ayda toplamda en fazla [5.000 TL] ücretsiz para çekebilirsin Bankamız kampanya şartlarında önceden haber vermeksizin değişiklik yapabilme hakkını saklı t…;;;
albaraka--detay-trendlilere-tum-banka-atmleri-ucretsiz;albaraka;kampanya_kosullari;"[""Kampanya Hakkında Bilmen Gerekenler Kampanyadan sadece Trend Banka Kartı'nla faydalanabilirsin."", ""Aynı banka kartıyla bir ayda toplamda en fazla 5.000 TL ücretsiz para çekebilirsin Bankamız kampanya şartlarında önceden haber vermeksizin değişiklik yapabilme hakkını saklı tutar.""]";0.95;rule_heuristic;;…er ücretsiz olarak hizmetinde! Trend Banka Kartı 'nla diğer banka ATM'lerinden her ay 3 kez ücretsiz para çekebilirsin! [Kampanya Hakkında Bilmen Gerekenler Kampanyadan sadece Trend Banka Kartı'nla faydalanabilirsin.] Aynı banka kartıyla bir ay içerisinde en fazla 3 kere ücretsiz para çekebilirsin. Aynı banka kartıyla bir ayda toplamda…;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;kar_payi_orani;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;finansman_tutari;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;vade_ay;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;taksit_sayisi;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;tahsis_ucreti;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;masraf_durumu;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;odul_miktari;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;indirim_orani;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;alisveris_puani;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;kampanya_suresi;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;kampanya_kosullari;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
adil-katilim--katilim-bankaciligi-belgeler;adil-katilim;hedef_kitle;;;;;Anasayfa > Katılım Bankacılığı > Belgeler Belgeler Bilgilendirme Formları Katılma Hesapları (Mudarabeye – Emek Sermaye Ortaklığına- Dayalı) Müşteri Bilgilendirme Formu Murabahaya Dayalı Finansman Akdi Bilgilendirme Formu …;;;
albaraka--detay-madame-cocoda-350-tl-indirim;albaraka;campaign_type;;;;;Albaraka Mobil Mobil Bankacılık Aç Madame Coco'da 350 TL İndirim! Anasayfa Kampanyalar Detay Madam Coco'da özel ayrıcalık. Albaraka ayrıcalığıyla seçkin ürünler sizi bekliyor. Nasıl Kullanılır? Albaraka Mobil'e giriş yap …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;kar_payi_orani;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;finansman_tutari;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;tahsis_ucreti;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;masraf_durumu;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;odul_miktari;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;indirim_orani;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;alisveris_puani;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
albaraka--detay-mtv-odemelerinize-vade-farksiz-3-taksit-10;albaraka;hedef_kitle;;;;;Albaraka Mobil Mobil Bankacılık Aç MTV Ödemelerinize Vade Farksız 3 Taksit! Anasayfa Kampanyalar Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol Motorlu Taşıtlar Vergisi (MTV) 2026 yılı 2. dönem …;;;
